Q4 - Tempos

mandelbrot_mpi2_nox_dist_n1

14.076	107.777	2.129
14.490	110.898	2.246
14.179	108.750	2.377
13.867	106.707	2.115
13.815	107.678	2.077
14.528	109.379	2.231
14.322	110.273	2.357
13.966	108.708	2.006
14.011	107.996	1.989
14.113	107.797	2.275
14.905	112.026	2.195
13.978	108.940	2.060
14.732	111.931	2.361
14.461	108.526	1.970
15.127	114.092	2.304
14.698	112.742	2.324
13.990	108.660	1.957
13.833	107.536	2.273
14.028	109.345	2.075
13.954	108.692	2.206
14.123	110.004	2.082
13.859	108.005	2.080
13.466	104.907	2.080
